stationid,observationdate,rainfall,rain_unit,temperature,temperature_unit
S081,2023-07-15,4.058450485293119,mm,20.4964566182478,Celsius
S050,2023-04-08,12.737092696963389,MM,34.55403076604628,Celsius
S360,2023-09-08,3.8419834801333703,,28.241929889714616,Celsius
S388,,46.93489248952892,mm,10.276913498887254,c
S002,2023-08-10,15.744467937531088, INCH,15.971102006516016, celsius 
S390,,39.06462534021913,,12.071068125031474, celsius 
S054,2023-04-18,, INCH,11.952878491573266,Celsius
S106,,7.019609251278891,MM,12.94343829733343,c
S260,,7.052600164379292,inch,14.10142246305286,C
S310,2023-05-15,18.897336009446143,,15.584013196367971, celsius 
S191,2023-05-31,28.429234931788127,MM,27.53883852472353,Celsius
S218,,21.33624968472654,,34.49313579558155,c
S044,2023-12-09,38.39788214571185, INCH,18.37909557239853, celsius 
S162,2023-06-18,26.79719494645833,mm,24.400680826834645, celsius 
S202,2023-12-15,44.09243262100737,,40.17134995776996,C
S270,,29.619941279046667,inch,28.48645653919524,C
S351,,29.61847602432507, INCH,43.190192312300645,Celsius
S304,,32.98404070639288,inch,10.137104626886428,C
S271,2023-02-04,30.150216492402155,mm,15.07653120816207,Celsius
S215,2023-03-10,30.605896460679897,mm,32.402984833755745,Celsius
S252,,22.485499089910142,mm,23.626260139719264, celsius 
S190,,4.527309858544292,inch,15.261144492621115,C
S296,2023-12-27,18.44530807438833,inch,23.01041520332732, celsius 
S213,2023-01-28,38.41516482847514,,17.633072377936692,C
S208,2023-04-24,,mm,13.213941651938914, celsius 
S237,2023-05-20,34.5315913362486, INCH,12.417628274430168,c
S338,2023-01-27,,mm,10.692345581714426,Celsius
S367,,21.798139337573293,MM,39.49267991646346,Celsius
S053,,10.62068019066783,inch,36.80688245753481,Celsius
S280,,1.1503293198076026,mm,42.404761233409424,Celsius
S217,2023-11-07,42.73764998300985,inch,29.732340536121768, celsius 
S252,,7.369310419071439,,, celsius 
S188,,2.1573647060839694, INCH,18.984302718783454,c
S380,2023-07-31,24.27192176537032,,16.607224096288142,C
S041,,19.086624129665108,MM,12.059624490056752,Celsius
S157,,47.99038823210699,inch,17.07658042232856,C
S015,2023-02-26,23.126209313895675,MM,15.674117170082225,c
S301,2023-09-23,41.77154515640243,inch,21.5497780034204,C
S065,2023-03-05,46.599708577787005,inch,21.49114777643197, celsius 
S345,,9.2121432624513,MM,26.158033982323893,c
S327,,17.316442091890888,MM,24.96737011471673,c
S009,2023-06-18,46.16390066649661,,40.16685074384601, celsius 
S344,,27.79314436360427,mm,35.053444858911334,c
S129,2023-04-26,16.134426435223105,,31.699791817398104,c
S136,,26.025566780015485,inch,41.51012889459268,C
S063,2023-01-24,36.558387420276446,MM,31.71805726832965,Celsius
S139,,30.91717523331704,,27.469966263345107,c
S081,2023-09-03,46.679576832009, INCH,33.531641085908745,c
S392,,48.14897535980295,,37.11445518067953, celsius 
S163,2023-04-12,35.57305606429975, INCH,37.72039782691874,c
S289,,33.18568410449986,mm,44.35196301707003,Celsius
S379,,,,21.362850797846757,C
S261,,39.18483840921417, INCH,34.39267487209224,C
S231,,24.97205789937914, INCH,20.046170288906783,C
S041,2023-01-03,,MM,28.350449775736507,Celsius
S028,,46.65547226585237, INCH,26.54672603297308,Celsius
S135,2023-09-18,18.450256181254183,mm,34.226131995546325,C
S201,,45.27329926600635,mm,20.888775545478605, celsius 
S328,,32.97840235638701, INCH,12.946717930981736,C
S268,2023-08-01,21.40492966712752,,21.572694499002885, celsius 
S033,,2.538683707205025,,34.085294431214706, celsius 
S048,2023-08-18,37.10762362447075,,16.792562349395368,c
S062,2023-07-24,44.66047147588896,inch,23.983632099267425,Celsius
S216,2023-10-16,29.115331456248335,inch,37.591308963375, celsius 
S293,2023-02-19,, INCH,41.73537899117024, celsius 
S099,2023-04-26,22.57333829812157,mm,31.524949256607773,C
S172,,35.40340721643593,mm,42.975300658144434, celsius 
S360,,9.913409556005336, INCH,16.27893844085274,Celsius
S214,2023-03-16,10.220189262358636,MM,44.10766553749348,c
S035,,17.35175209757958,mm,35.66492758728147, celsius 
S227,2023-08-21,1.4907203209407638, INCH,14.99069492071705, celsius 
S101,2023-10-30,,mm,39.03164954838377, celsius 
S131,2023-02-21,22.411991271740227,inch,22.4249996693219,Celsius
S257,2023-09-03,44.68577302928126, INCH,27.091199351433485,c
S005,,32.35144550162299,MM,40.53105224079015,Celsius
S218,2023-04-21,, INCH,21.08297894993109,C
S255,2023-06-23,33.59298404648008,,28.349478129570105, celsius 
S398,2023-03-23,20.89580497102888,MM,41.643479961949765,c
S359,,46.63579436572228,MM,35.62153574452788,Celsius
S283,,45.71813678983759,mm,34.96598318365896,c
S393,2023-04-25,24.12577262764769,MM,11.288449638280536,c
S207,2023-03-10,38.96688150233709,mm,13.932791912974023,Celsius
S015,2023-03-21,49.25512878640848, INCH,36.13955273349352, celsius 
S346,,16.561821562957363,inch,41.83753714050863, celsius 
S042,,31.242672460830367,,41.41772293633679,C
S380,,,MM,16.701316057653457,Celsius
S179,2023-11-21,27.03867377005356,inch,29.175503035628644,C
S063,,46.65621426151207,inch,21.534616461506356,C
S352,2023-07-25,6.329919799627149,mm,27.65431031360708,c
S231,2023-11-07,25.819104868804565,mm,23.622338783930083,C
S241,2023-07-31,1.2927255687873729,,40.9325199890155,c
S052,,15.405233346440422, INCH,30.370390803563097,Celsius
S096,,33.75324760758414,mm,12.239496906549563,C
S388,2023-03-24,39.02045152856894, INCH,40.55565927699024, celsius 
S222,2023-01-31,42.71320200089614, INCH,21.76131311586931,c
S231,,3.830728837465963,inch,27.24854702444616,C
S237,2023-04-16,9.228268339723057,MM,10.90743074692183,Celsius
S143,2023-11-23,20.075100736028173,inch,17.388929670786325,c
S171,,19.06089886881752,,13.335654761759583,Celsius
S029,,12.696641132191257,MM,39.86012028933892,C
S036,2023-03-07,46.83450348079277,inch,36.89331778624327, celsius 
S013,,,,22.10851161444191,c
S160,2023-03-13,32.85110861317359,MM,22.102934618909465,c
S327,2023-09-11,37.48291693604564, INCH,19.268428307498997,Celsius
S187,2023-09-03,27.19420454896794,,10.047779161299973, celsius 
S243,2023-06-12,41.68212071034295, INCH,,C
S086,,49.24203656275192,MM,31.823920357582303,C
S284,2023-11-07,19.59596582656532,,29.80436573550434, celsius 
S066,2023-08-29,,,41.62664573987291,C
S170,2023-01-08,15.849793349196844,inch,17.02993953955123,C
S045,2023-09-24,3.4501201736935885, INCH,18.99885428968012, celsius 
S062,2023-10-08,1.353626305446631, INCH,10.981453720001577,C
S134,,11.628635888009264,,39.805374385520366,C
S284,2023-12-23,8.115779146194024,,25.684468670034924, celsius 
S028,,36.113128965787325,mm,,Celsius
S108,2023-04-11,23.167988151751818,inch,27.48189095149377,Celsius
S044,2023-03-04,, INCH,44.53348660518844,C
S340,,4.089311606168378, INCH,14.491742975575974,C
S286,2023-08-13,0.9703337172714988,,38.88771730628379, celsius 
S331,,21.75652054925149, INCH,13.141192581742196, celsius 
S128,,,MM,44.714391995795104,c
S348,2023-05-13,31.09841331456169,,28.452110811419438,C
S231,2023-01-13,25.58254731430644, INCH,19.04450181059833, celsius 
S190,,,MM,18.21166283550232,c
S225,2023-02-18,41.92700705785816,,38.78824919090166, celsius 
S385,2023-07-31,26.856591570952325,mm,26.70447911058108,C
S377,2023-11-16,45.34059017066024, INCH,13.946409782512813,C
S283,,46.6420794887427,inch,25.0479577636114,C
S121,2023-03-08,12.218195155423578,MM,30.796236229880503, celsius 
S116,,48.87480504957145,,28.17443586678164,Celsius
S233,2023-06-06,49.29638326629761, INCH,43.31093473916676, celsius 
S259,2023-12-05,3.248246734108312, INCH,29.38877052081162,c
S359,2023-07-29,0.118270510466284, INCH,24.21269052653974,Celsius
S198,2023-04-11,2.9299304182351382,mm,,Celsius
S137,,, INCH,38.08489042995422,C
S318,2023-03-05,40.40254428621154,inch,26.422225274116062,Celsius
S165,,25.228107457408537,inch,17.687214766513378,c
S225,2023-05-08,14.81338844440977,mm,14.902965144380664,c
S307,2023-06-12,2.7502391763564447,mm,11.374305318216058,C
S234,2023-05-26,19.792293284997687,MM,17.012351315613255,C
S172,2023-08-28,1.8081507464479616, INCH,21.07980986016588,c
S152,,8.63617991568318, INCH,21.91408343662735,c
S315,2023-10-10,43.93618022230146,,35.58753695590607,Celsius
S374,2023-06-05,38.08127978496239,MM,33.71901570487304,Celsius
S160,,49.78572072478114,mm,23.79637529819033, celsius 
S096,,44.72113413657643,,13.931605206000526,C
S233,,,mm,18.402152016694863, celsius 
S180,,8.737214069188587,inch,33.944406458341284,C
S113,2023-01-07,,inch,,Celsius
S318,,30.02672145554605,mm,33.48707754687527, celsius 
S052,,45.89546371666191,inch,22.739486457102885,c
S268,,39.05092770258237,inch,13.177060987714729,C
S295,,38.73677973560758,,21.151782481268945,c
S386,2023-06-28,16.236894397189566,mm,13.075638980391284,C
S387,,6.220731074371077,,17.100191618716423,Celsius
S113,2023-08-20,18.452782490435688,MM,17.348730206886046,Celsius
S101,2023-04-04,10.421610841934436,inch,39.85799215314459,C
S113,,,mm,28.3235806590245,Celsius
S081,,22.965855731792555,,35.52187657115604,C
S187,,,inch,15.492057322437368,c
S113,2023-07-30,32.89920397802488,MM,23.84120813528267,c
S002,,3.454817132087462, INCH,37.45466544040704,c
S130,,45.89177391753801,MM,23.82351810251233,c
S220,,28.91565321909001,MM,30.963536276089467,c
S054,2023-04-25,23.049430658350968,inch,13.225563349161307,c
S343,,12.45529220791936, INCH,38.906998112423146, celsius 
S224,2023-06-08,27.394687789875444,inch,36.577050430413664, celsius 
S225,2023-02-15,14.358404699996214,mm,23.59470336899461,c
S385,2023-11-11,19.72638250452721,inch,44.290839707365066,c
S126,,44.42727508562548,mm,25.34519855727973,C
S130,2023-03-22,,,31.3313838233362, celsius 
S053,,17.401684806446898,inch,27.92607876402792,C
S172,,32.79211454463803,MM,19.797977222050392,c
S218,2023-08-21,36.23878110830064,inch,25.669481783461816, celsius 
S160,2023-04-04,5.745870609780779, INCH,27.56896890579789,Celsius
S198,,46.81186459246496,MM,23.21923515036348,C
S247,2023-07-08,,inch,20.34992101925845,c
S324,2023-03-08,3.34489856743806,MM,35.87037897038668,c
S203,,38.10489342619584,mm,15.514165386498348,c
S184,,38.57374697734758,mm,,c
S123,,33.30447953488383, INCH,41.44272700007372,c
S255,2023-10-13,26.082905309177107,inch,40.7221183049503,C
S294,,14.431864791677455,MM,23.834422597092665,C
S280,,41.9991734673798,mm,17.686379014650566,C
S325,2023-12-15,34.93775202729593, INCH,,Celsius
S372,2023-02-21,, INCH,25.705247498169623, celsius 
S098,,22.715827521459143,MM,21.75783399690464,C
S198,,23.52638732970103,mm,41.500974355823175,C
S395,2023-04-29,39.569430927468666, INCH,14.01754854079638,Celsius
S240,2023-06-07,49.65243977705177,,16.441217492663252, celsius 
S144,2023-06-16,44.82032441709623,MM,25.755861981843, celsius 
S097,2023-02-26,14.873932918323613,inch,25.47150111832544, celsius 
S201,2023-03-24,47.6808720885881,,14.795056865340545, celsius 
S124,,9.898422621570674,MM,20.117782177189248,c
S187,2023-12-06,21.07229436334336, INCH,22.864604807477125, celsius 
S326,,44.34699608165775, INCH,35.45629043541663,c
S349,2023-11-28,,inch,44.64325965731739,Celsius
S259,,17.611658086299332,mm,43.43836629632963, celsius 
S148,,49.73829971026856,inch,33.40594420365638, celsius 
S252,2023-12-26,22.55101379300309,mm,20.55796605690897, celsius 
S346,,47.37269816501344,,29.407003784881933, celsius 
S147,,13.70155249350929,,24.552561636654136,c
S148,,25.041334000886216, INCH,10.407403046342113, celsius 
S352,2023-06-03,19.13715825708529,inch,21.58680937102749,C
S199,,28.208820053244583,MM,23.054344300485404, celsius 
S308,,44.92036278436885,MM,16.172094497151914,Celsius
S128,2023-06-12,49.54394791035373,MM,11.08806977890237,Celsius
S039,,25.0533063127447,MM,,c
S338,,8.751610336527389, INCH,10.215182088398311,Celsius
S360,2023-11-21,2.5238354486593337,MM,41.10545971081211,Celsius
S129,2023-09-22,7.976240530134443, INCH,13.91468721597405,C
S267,,37.3229647662667,MM,35.204291682132364,Celsius
S151,,29.71579159681288, INCH,28.456552167976017,C
S298,,37.43940547222234,inch,40.558230301435486,Celsius
S099,2023-08-16,47.69865163594337,,19.685426784946387,C
S263,2023-11-08,35.34126864495201, INCH,38.90295080254518,Celsius
S252,2023-11-21,38.877490256563966, INCH,42.9173394635236,c
S144,2023-03-02,21.35723179989964,,21.712854925516545,C
S346,,25.566121093137443, INCH,11.12705602456854,C
S112,,41.16436009110772,inch,39.64551031086235,c
S060,,,mm,17.921503978953602,C
S369,,26.774957535903127,,27.24650049549506,C
S002,,, INCH,29.833512571689848,c
S385,,30.14164486858514,inch,36.01106424189486,C
S304,,,MM,24.9585805512162, celsius 
S254,2023-07-21,29.51112150663052,,34.571211475690326, celsius 
S140,2023-09-19,23.19448743286598,MM,30.916861570682396,C
S037,2023-03-06,5.08613201002327,inch,20.63592268683789,c
S160,,42.85727389952177,,24.651799682243546,Celsius
S009,2023-03-24,29.0658042818, INCH,32.14072226826784, celsius 
S233,2023-03-31,45.14739491859069,mm,36.92189360333097,Celsius
S099,,,mm,17.877102132477496,Celsius
S147,,25.878968930035096, INCH,12.2415555063787,c
S304,,33.902550029891145,inch,35.44955071310524,C
S208,2023-01-31,44.76919819279972,MM,16.94041573269243,Celsius
S131,2023-06-17,,inch,40.96803140652374,Celsius
S152,2023-12-02,12.196805339494292,,23.16194542692938,c
S054,,,mm,36.89460267337366,Celsius
S120,2023-07-20,20.944188228854504,mm,19.43168745701776,Celsius
S161,,1.8837701121602268, INCH,31.43253842542768,C
S116,,18.54908072520784,,17.46446952300874, celsius 
S075,,7.177973369360241,,25.12236586083771,Celsius
S113,,41.35708519893765,mm,35.247253418846,C
S104,2023-08-21,39.111003700031134,MM,38.21477739378875,Celsius
S340,,8.756061493695649,,, celsius 
S254,2023-09-05,14.233578102029616,inch,30.577300323362017, celsius 
S227,2023-03-20,28.497381854376403, INCH,17.123407180229165, celsius 
S112,2023-12-25,12.46889027817168,inch,10.350883477463492,C
S099,,2.7772468098103023,,17.353860615558744,Celsius
S153,,38.26696128539408, INCH,16.605693702399833,C
S349,,4.556198877200507,mm,37.19907745840295,C
S384,,33.88860796389099,inch,10.987089224907798,c
S366,,7.492691355559056,inch,27.45252141311332,C
S338,2023-04-01,0.3838670870667082,inch,21.80810404403968, celsius 
S194,,28.1249217238145,inch,18.284646888023104, celsius 
S310,,14.233712869864895, INCH,36.07117228800625,c
S163,2023-03-12,6.503674313883695,MM,18.9986579737899,Celsius
S208,,34.248659545850565, INCH,,C
S169,2023-04-24,32.20688697189738,,38.84585748705295, celsius 
S161,2023-01-07,20.569103459660028,MM,26.09738912457885, celsius 
S068,2023-12-08,4.429831044717403,inch,33.924397434443435,C
S289,,23.292248681001222,mm,44.84482217693591,C
S398,,5.208326933799179,mm,34.77546352273202, celsius 
S277,2023-11-18,49.71691643308597,mm,,c
S304,,11.735755942316766, INCH,22.636918784885864,C
S384,,0.155181516649544,,18.49281896166732, celsius 
S392,,11.001436274939602,,15.07516870941638,c
S135,,30.98204842862109,MM,33.73072436787441,c
S195,2023-03-04,48.82235403691213,mm,43.7013381509831,c
S128,,26.27128946139004,mm,29.023326060030023, celsius 
S033,,22.2535351744092,MM,24.73246832843765, celsius 
S176,,,inch,43.41707485360184,Celsius
S371,2023-07-24,8.248499761951761,mm,19.80607625373302,c
S375,,9.888747164516442,inch,20.72776481877099,c
S022,,19.03488846991048, INCH,35.76442791676523,c
S238,,37.37511178062776,inch,23.393398222076392,C
S158,,15.125757279884125,MM,31.53512360963424,Celsius
S038,2023-01-13,23.495881962672104,inch,31.49103692574389,c
S230,,46.96736001327556, INCH,22.518950879677195,C
S365,,43.63953597667374,MM,26.767342191197837, celsius 
S051,2023-11-02,47.3512201073131,mm,44.90596655272255, celsius 
S264,,8.340768150602345,mm,42.20608404120557, celsius 
S283,2023-09-28,24.10709073278965,,12.662894637221626,Celsius
S027,2023-10-05,35.655326331548395,,21.478358126434745,c
S226,2023-12-14,36.64477326685041,mm,38.43331770805048,c
S277,,, INCH,12.26958390830764,c
S286,2023-11-05,41.03785703970128, INCH,34.01134621625117,Celsius
S097,,2.1358919669005827,mm,32.52195250359661,C
S284,2023-01-01,9.84549442557991, INCH,25.69588649265553, celsius 
S367,,16.397468465743554,MM,18.22949541848568, celsius 
S317,2023-12-26,36.44525550987181,inch,11.200733334505388,C
S304,,45.08658404074622,MM,11.311587193438328,c
S147,,26.44304352006802,MM,43.565567177205935,C
S004,,35.408461156650326, INCH,41.636713071503664,C
S035,,,mm,24.3979831835221, celsius 
S192,2023-01-29,46.22463336021862,mm,35.54413011875484,C
S049,2023-11-02,45.00451132827295,mm,41.36200047582658,C
S017,2023-01-11,40.39532431678538,inch,29.47606792482017, celsius 
S172,,,mm,11.721345368626704,c
S220,,18.65594090232967,mm,38.64166335799757, celsius 
S158,,20.82164118266135, INCH,35.48654630772451,c
S046,2023-04-24,0.217025690765793,,38.88772441591024,c
S373,2023-06-06,11.554947308440006,,40.895284809573965,C
S006,2023-01-11,35.690437273424365, INCH,20.483951570080148,C
S099,,27.21952582313508,mm,39.65142551379945,C
S380,,,,,C
S233,,1.4578274943065572,mm,40.26460544717202, celsius 
S037,2023-12-02,18.914485812227465,MM,44.465627139237256,C
S280,2023-01-06,35.36369355956323,inch,32.22862872682873,Celsius
S349,,6.685024859210836,mm,24.252103652871877,C
S302,,24.981108861841143, INCH,21.12141225725753, celsius 
S181,2023-08-15,0.7925992480060096, INCH,41.90115472909969,c
S095,2023-03-24,9.007672938361432, INCH,16.549694076198968, celsius 
S099,2023-12-19,46.90945615278102,inch,26.70941827704843,c
S188,,29.966614500229472,mm,18.28403772680523,C
S116,,37.96152054964393,,41.57017598189758,C
S191,,,MM,,Celsius
S253,2023-03-22,11.729543448547592,mm,39.06191388508971,C
S161,,9.595960677851371,inch,19.67292610255663,c
S256,2023-11-08,13.737933684676973,mm,43.8952276605453,Celsius
S323,,12.91572958450694,MM,39.20878710600688, celsius 
S128,,28.176488915387893,inch,26.17904022204838,Celsius
S018,,35.28442460155976,,44.09409703465824,C
S281,2023-02-06,27.42189974226773,mm,32.362098281956406, celsius 
S223,2023-12-26,14.952523382975356,inch,17.413958230803296,Celsius
S054,2023-11-18,34.740821463800415,mm,13.04202578161222, celsius 
S058,2023-03-05,,inch,13.00763601201166,Celsius
S323,,31.926949933246856,MM,19.967555720584222,c
S360,,10.578764638652345, INCH,33.49233018090635,c
S174,2023-02-19,47.98173323171036,mm,11.88518525857227,c
S280,2023-06-08,16.387178450634394,inch,26.639493777933755, celsius 
S114,,18.48464502063349,inch,32.167120074754685,C
S288,2023-05-16,27.025333874059047,inch,21.68035011362985,C
S342,2023-04-27,2.4845964911146714,MM,12.062566492406123, celsius 
S151,2023-12-18,9.558367249559309, INCH,12.106135890366534, celsius 
S127,2023-01-08,40.63467901501967,mm,38.04565119952455,C
S155,2023-03-04,39.69373833628694,inch,18.949021579263537,C
S386,,7.091069594443239,mm,,c
S273,,29.484391597819272,mm,21.372155859457383,Celsius
S104,,3.313014337679454,inch,42.72057201266364,c
S393,,3.7310942190585727,,44.83378304688747,C
S299,2023-07-27,39.980133325479095, INCH,37.920236427099965, celsius 
S246,2023-04-29,23.526518457232537,inch,30.949513080083705,c
S176,2023-01-06,46.32695498354471,MM,11.230995957217385,C
S039,,23.906111057303917,mm,29.997081951588854, celsius 
S170,2023-03-07,40.34799877644267,mm,,C
S247,2023-01-21,31.938259057503736,mm,41.01618692775867, celsius 
S026,,21.52997400483218,MM,18.069423290301057,c
S355,,27.743549907487136,inch,32.46700182365329,C
S306,2023-07-16,46.71143980842759, INCH,26.58843355006177,c
S013,2023-03-04,3.7927966054752185,inch,29.196541453436176,Celsius
S316,2023-06-08,26.47354741645289,,23.71693137195241,Celsius
S391,,2.592300179927181,MM,19.00345590154512, celsius 
S313,,27.772018677579545, INCH,11.559801693274045, celsius 
S036,,30.346513987761657, INCH,28.34722458411373,C
S173,,40.37479542288541,,11.687894308527564,c
S020,2023-04-11,39.90905082095465,,42.221779812325565,Celsius
S321,2023-10-21,0.504661922383437,MM,38.90212594614773, celsius 
S264,,3.559524144649029,inch,43.232883563121696,c
S400,,,mm,31.90573972669536,c
S142,2023-11-24,9.143370548279124,mm,, celsius 
S371,,26.406607228484404, INCH,13.184538030783145,C
S143,2023-05-24,11.585907810977965,,22.060104247340547,C
S092,,41.72962273176865, INCH,39.41679086455191, celsius 
S354,,34.045288394336744,MM,14.40437890283008,C
S322,,21.77691986917136, INCH,22.038683432289076,Celsius
S288,,11.232101766776704,inch,23.260315941234584, celsius 
S215,2023-10-15,32.96825976254861,inch,33.86296719344645,Celsius
S342,2023-12-02,,mm,18.129842555733735,C
S051,2023-10-14,29.455553269629497,MM,35.01658782325861, celsius 
S153,,33.40517535916201,,15.391116043213728, celsius 
S186,,6.883354563315808,mm,28.94674526858949,c
S063,,2.4629893611238627, INCH,31.71109684717291,c
S190,,24.665986025189905, INCH,25.034436537413026,C
S125,,7.914984172560019,inch,18.119257396859812,c
S150,,4.48350569707342, INCH,42.76899435159418, celsius 
S314,2023-03-18,4.45241375113608,,19.950737109643644,C
S058,2023-01-18,35.1050193556249,inch,40.5205771325484,Celsius
S342,2023-08-27,45.26333961535242,mm,34.30248515077753,C
S305,2023-03-10,46.59197776066194,,,C
S180,,46.79564999493644,inch,43.744779124931895,c
S170,2023-12-24,33.54976979467182,inch,16.420415105219927,c
S326,,46.29329508688158, INCH,25.74680397209464,c
S271,2023-05-25,6.592305469804577,mm,40.213678071236046,Celsius
S054,,30.07547199683676,MM,37.30226069391259, celsius 
S101,,37.9998982213481,inch,16.117214612181897,Celsius
S264,2023-07-29,47.1531996930467,,18.26982833309385,Celsius
S053,,16.41807883952978, INCH,18.968293419193596,C
S060,2023-12-24,29.23874588751821, INCH,23.0767103945697,Celsius
S108,2023-11-21,20.17776837064003,mm,31.09629099746365, celsius 
S005,2023-12-15,26.91344125785141,,26.38596505908401,Celsius
S103,,25.17834721129626, INCH,35.283356586695604,Celsius
S196,,,,30.642564879896447,C
S262,,41.20334200730138, INCH,38.68758656535993,Celsius
S365,2023-03-22,19.745605511533203,MM,40.52313660571544,Celsius
S372,,14.050478352098756,,35.98751494787332, celsius 
S350,,42.543987304173406,,37.900785209667966,Celsius
S047,2023-07-09,47.73290209867415,inch,14.233834660095011,Celsius
S355,,0.9308806903909396,,36.19082219359005,C
S311,2023-12-26,25.050210792979748, INCH,21.860565137003995,C
S308,,38.57586137911838,inch,, celsius 
S144,,49.29856079286444,inch,22.66738320026993,C
S269,,26.526055056017263,,11.588851689440787,c
S370,,,inch,10.022289260944127,Celsius
S124,,46.667453227694864,,33.66106684667082,c
S106,2023-10-30,18.76102508868997,,25.741285246612154,c
S158,,44.24102847790616,inch,23.706873356646145,c
S147,2023-12-24,13.307623330142542, INCH,40.52455376879168, celsius 
S145,,36.27290449712346,inch,16.663310680110484,Celsius
S120,2023-11-25,47.79554515164738,mm,,c
S319,2023-08-01,,,34.949147701879774, celsius 
S275,,18.81035623243939,MM,29.84219469742252,C
S092,2023-11-24,3.897042741787416,MM,18.929051979550067,Celsius
S058,2023-08-08,10.033537041534837,MM,22.441792021303364,Celsius
S346,,,MM,33.367970862567475, celsius 
S229,2023-05-24,49.48383138848608,,38.57716296402897,C
S117,,42.487508882287166,,22.527166161007447,Celsius
S318,2023-03-30,39.57402569512058,inch,41.6597192682195,C
S279,2023-12-01,0.9364907625997844,inch,23.812556710123115,C
S127,,36.684568475827234,MM,, celsius 
S393,,41.37808334365965,,36.60966598602626,Celsius
S396,,,inch,39.91371551336094,Celsius
S129,2023-07-30,49.98517296597849,inch,19.621036244904523,C
S058,,1.7931276128537288,inch,28.167841174894924, celsius 
S122,,19.55399581357596,,36.50999642012876,C
S001,,10.631606836840184,mm,31.75234551707048,c
S239,,,MM,39.93383602261282,Celsius
